customer_id,order_date,total_amount
52,2024-06-16,103598.0
114,2025-01-30,50099.0
77,2025-02-19,79998.0
67,2024-06-26,71940.0
76,2024-11-21,81448.0
115,2024-08-07,19598.0
25,2025-03-18,124996.0
25,2024-12-25,680.0
83,2024-12-03,51250.0
72,2024-12-01,47588.0
27,2024-10-19,2810.0
91,2024-11-22,54999.0
93,2025-03-02,1700.0
54,2024-05-12,15130.0
26,2024-10-29,3800.0
31,2024-12-10,5150.0
26,2024-10-26,33998.0
115,2024-08-02,49800.0
54,2024-05-28,14479.0
42,2025-01-11,12698.0
74,2024-10-09,16289.0
111,2024-07-27,450.0
45,2024-07-08,105999.0
36,2024-12-23,105676.0
58,2024-05-24,29999.0
28,2024-09-18,23539.0
98,2024-10-31,66938.0
118,2024-12-30,92996.0
73,2024-04-22,7998.0
9,2024-07-21,5180.0
17,2024-05-07,186886.0
39,2024-08-04,54999.0
10,2025-03-10,136996.0
46,2025-03-22,96998.0
4,2024-07-16,87488.0
18,2024-12-22,8500.0
116,2024-01-26,3580.0
86,2024-03-30,26498.0
119,2024-03-05,39999.0
28,2024-11-03,116148.0
96,2024-05-11,43090.0
74,2024-12-01,6490.0
84,2024-07-24,112078.0
84,2024-09-30,58949.0
26,2024-10-29,173036.0
113,2024-05-09,8400.0
27,2025-01-17,39500.0
45,2024-06-07,18300.0
39,2024-07-16,56896.0
58,2024-06-19,134748.0
32,2025-01-03,1360.0
86,2024-04-24,136646.0
111,2024-10-07,22200.0
1,2024-12-23,58110.0
22,2024-07-01,7860.0
11,2024-12-16,3900.0
91,2024-09-21,16500.0
30,2025-01-28,5200.0
81,2024-09-29,52579.0
89,2025-03-16,48358.0
3,2024-09-18,4600.0
7,2024-04-20,35940.0
110,2024-06-11,115898.0
60,2024-06-14,116388.0
111,2024-06-21,48800.0
5,2024-05-29,13500.0
115,2024-08-26,33200.0
36,2025-01-19,8400.0
92,2024-09-25,97298.0
94,2025-01-24,13000.0
41,2024-11-24,21640.0
100,2025-02-07,123798.0
57,2024-06-26,81998.0
99,2024-02-15,90097.0
62,2024-04-06,45999.0
119,2024-03-29,95997.0
30,2025-01-05,4800.0
67,2024-04-13,114398.0
86,2024-05-07,19409.0
59,2024-03-14,5800.0
79,2024-11-12,164646.0
3,2024-10-12,156095.0
111,2024-09-23,29850.0
93,2025-04-07,105118.0
49,2024-03-30,2900.0
119,2024-05-15,7950.0
119,2024-04-27,194495.0
105,2024-01-25,105896.0
112,2024-04-29,29000.0
86,2024-04-20,4600.0
108,2024-05-16,1700.0
55,2024-04-08,4200.0
38,2024-11-20,17448.0
117,2024-11-18,35998.0
14,2024-11-20,136978.0
16,2024-05-31,21998.0
67,2024-07-16,960.0
22,2024-05-30,3800.0
54,2024-06-03,22800.0
22,2024-06-26,15460.0
18,2024-10-17,1040.0
84,2024-08-07,23560.0
60,2024-06-14,68699.0
108,2024-03-31,12250.0
76,2024-11-01,37000.0
69,2024-11-29,30969.0
101,2024-05-30,85128.0
94,2025-01-07,113958.0
70,2024-04-03,680.0
94,2025-02-24,112736.0
82,2024-08-02,36797.0
101,2024-07-08,19798.0
14,2025-02-22,11000.0
56,2024-10-11,44199.0
102,2024-09-04,26398.0
106,2024-08-22,81499.0
11,2025-01-20,64499.0
94,2025-03-06,6400.0
63,2024-04-29,70700.0
38,2024-12-26,35049.0
108,2024-06-07,39799.0
103,2024-07-20,36649.0
102,2024-10-06,15200.0
49,2024-05-14,19400.0
26,2024-10-23,28899.0
7,2024-03-18,9810.0
76,2025-01-30,59199.0
114,2024-11-10,1000.0
40,2024-05-02,9999.0
19,2024-02-07,46698.0
110,2024-07-14,57899.0
41,2024-10-23,6500.0
42,2025-01-07,2900.0
8,2024-06-23,43799.0
77,2024-12-03,27549.0
1,2025-02-03,6800.0
88,2024-11-03,10600.0
95,2025-03-19,56097.0
65,2024-11-15,680.0
81,2024-09-26,31978.0
58,2024-05-05,6320.0
57,2024-05-01,8500.0
66,2024-12-21,1880.0
109,2024-07-29,11100.0
66,2024-11-29,15350.0
32,2024-12-14,35399.0
117,2024-12-10,12980.0
90,2024-11-24,13999.0
69,2024-11-12,86798.0
87,2024-09-07,15280.0
25,2024-12-17,960.0
23,2024-11-25,93548.0
119,2024-05-12,1700.0
36,2024-12-27,49178.0
114,2024-11-06,54499.0
66,2024-12-08,3880.0
78,2024-06-13,1370.0
63,2024-06-22,73997.0
70,2024-02-02,55247.0
37,2024-05-05,59589.0
60,2024-05-22,780.0
112,2024-06-15,17180.0
108,2024-05-19,51488.0
101,2024-07-08,3830.0
73,2024-03-18,19039.0
90,2024-11-11,22700.0
24,2024-10-23,82999.0
108,2024-04-17,139796.0
38,2025-02-26,51669.0
84,2024-07-03,148896.0
84,2024-07-19,48299.0
72,2024-11-04,115088.0
77,2025-02-01,31350.0
118,2024-12-09,216995.0
70,2024-02-05,178196.0
74,2024-09-26,6400.0
32,2025-03-22,29499.0
82,2024-07-30,101317.0
17,2024-05-14,5950.0
91,2024-11-25,17900.0
79,2024-10-29,126696.0
107,2024-10-10,65450.0
35,2024-11-05,7180.0
92,2024-10-05,12200.0
66,2024-12-31,960.0
29,2024-08-05,90496.0
118,2025-02-16,45468.0
15,2024-06-22,8250.0
50,2024-03-20,5800.0
84,2024-06-17,48849.0
14,2024-12-29,32878.0
89,2024-12-29,47996.0
72,2024-10-08,54396.0
73,2024-05-08,45999.0
27,2024-11-23,47368.0
116,2024-05-01,28450.0
93,2025-01-17,102597.0
65,2024-09-14,4679.0
106,2024-08-26,119077.0
79,2024-09-10,51779.0
48,2024-11-27,187845.0
21,2024-08-21,4810.0
30,2025-02-07,129098.0
106,2024-06-14,4200.0
33,2024-09-20,53579.0
96,2024-06-23,6500.0
47,2024-03-02,1450.0
77,2024-12-09,94168.0
50,2024-04-24,31019.0
92,2024-09-16,13000.0
114,2024-11-11,6500.0
17,2024-06-04,680.0
44,2024-06-14,62599.0
52,2024-06-15,1740.0
11,2025-02-15,44778.0
115,2024-10-01,62209.0
34,2024-12-29,36598.0
89,2025-01-03,54939.0
81,2024-08-31,95378.0
100,2024-12-27,3580.0
81,2024-09-27,49578.0
59,2024-03-10,18500.0
58,2024-05-17,2530.0
84,2024-09-11,10040.0
77,2025-03-04,44998.0
80,2024-11-22,43449.0
111,2024-10-04,5270.0
115,2024-10-10,44998.0
71,2025-02-04,4600.0
27,2024-11-28,21998.0
83,2024-11-29,12950.0
87,2024-08-17,960.0
103,2024-06-23,13520.0
109,2024-07-01,25600.0
90,2024-12-05,54999.0
46,2025-01-21,18399.0
35,2024-10-01,150346.0
112,2024-06-21,12280.0
20,2024-04-27,49748.0
